,Question,Answer
20,<p>Is the Liman fellowship selective?</p>,"<p>Response from Olive:</p><p>I don&rsquo;t know too much about it, but it seems they only award it to 4 students across all years and likely draws a lot of attention from pre-law students where internships are probably already pretty competitive, so I would say so</p>"
21,"<p>I'm a sophomore history student considering whether to take 3 seminars and a lecture course this coming semester. A couple of my friends have warned me against it, arguing that it will be too much work or too much class time... But I kind of want to try it. Any advice—or has anyone had experience w/ 3 seminars that they could share?</p>",<p>Response from Olive:</p><p>personally don&rsquo;t have this experience (haven&rsquo;t even taken one 3 hour seminar) but I think you should do what you think is right and not what others think since everyone has their own learning style. if you prefer more discussed based and in-depth courses then seminars could be a really good fit for you. I think the extra work / time argument they claim isn&rsquo;t really valid since meeting 1 day a week for 3 hours would just be a more condense version of meeting 2 or 3 times a week for shorter and with essentially the same amount of work depending on the professor. if they&rsquo;re classes you&rsquo;re really interested in and you can see yourself enjoying them and actively participating for the weekly meeting I would encourage you to at least try the arrangement and if by the second week you aren&rsquo;t feeling it you can swap classes. readers with more extensive experience feel free to share!</p>
22,<p>is cps available/could i meet with a counselor during winter session?</p>,<p>Response from Olive:</p><p>you should be able to since all campus offices should be reopened by now. if you need to schedule an initial consultation you can do so through the uhs portal or can call the office for other inquiries.</p>
23,<p>difference between class day and commencement day? Which do we get 6 tickets to?</p>,"<p>Response from Olive:</p><p>the commencement week events are summarized <a href=""https://princetoniana.princeton.edu/traditions/current/commencement-week"">here</a>. you&rsquo;ll get 6 tickets for commencement</p>"
24,"<p>Is there a best (or worst) time for senior sales (clothing and such) in terms of likelihood of getting traffic on your slides and actually selling stuff? Like I know there’s a whole bunch in the late spring, is it better to get ahead of those or does being part of a large group where people are used to looking at sales help?</p>","<p>Response from Heisenberg:</p><p>Actually an interesting optimization problem, one could prob do research on this lol. I would say being part of the herd that sells at the same time <i>could</i> help in the manner that you referenced, though I&rsquo;d probably try not to sell at a time when people are busy (late spring kinda sus?).</p><p>Personally, if I was looking to buy, a standalone message in my inbox about your sale would catch my attention more than a stream of ppl trying to sell me their clothes. Certainly I would look at the stream of sellers too, but assuming I&rsquo;m only looking to buy one batch of clothes from one seller and I pick one seller at random, the individual probability of an individual seller (say, you) successfully selling your stuff to me is less, I&rsquo;d say, if you sell along this stream of other sellers compared to the standalone message.</p>"
25,<p>genuine question - what makes writing sem so difficult to get an a in? is it the amount of work they assign? or the rubrics the professors use to grade? or something else?</p>,"<p>Response from Heisenberg:</p><p>TL;DR: ppl summarize the evidence in their papers instead of writing analytically rigorous arguments. Bit lengthy, from my experiences, and obv doesn&rsquo;t speak for everyone but here are my 2 cents.</p><p>I’ve found that it’s because students typically don’t know how to go in-depth with the literature of their topic. That is, effectively organizing a cohesive argument, finding nuances within the arguments and creating novel points to argue for, and perhaps even adding to the academic conversation (the “literature”) about the topic with one’s own ideas instead of merely providing a summary of the evidence with no new ideas. Writing seminar is NOT designed to teach you how to write for the New York Times or how to publish a best-selling book. It is designed to demonstrate how you should interact with the literature of your chosen topic in preparation for independent work later on at Princeton. Notice how I phrased that: yes, engineers, this applies to you as well. Indeed, very talented writers may find themselves struggling in writing seminar not because they suddenly lost their ability to write but rather because of the different context under which they write.</p><p>More often than not, what ends up happening is people just write the basic 5-paragraph essay they learned in high school that’s very “robotic” and doesn’t allow for the flexibility of going deep into a particular nuance while having the flexibility to pivot/transition to the next argument and how it could relate. It’s like thesis: here’s what I think -&gt; now here’s reason 1 -&gt; now here’s reason 2 which doesn’t really flow from reason 1 but is another reason that I think is valid nonetheless -&gt; another reason 3 that may or may not make improve their paper’s quality -&gt; conclusion that just summarizes the paper. This demonstrates your ability to <i>read</i> from the assigned readings, clearly, but not necessarily your ability to actually synthesize what you&rsquo;ve read and <i>write</i> an analytically rigorous paper.</p><p>Regarding the workload, I actually don&rsquo;t think it&rsquo;s as bad as people make it out to be. You get some assigned readings that may take ~90-120 minutes to read through it all (but you have the entire week to do so) and then you just write papers ranging from ~5-12 pages (I forget how long exactly but it&rsquo;s not excruciatingly long). The issue is the onslaught of work comes from refining the <i>quality</i> of your produced works and NOT from the <i>volume</i> of the work. Others just end up procrastinating on their work (maybe because they were assigned an uninteresting writing sem or what have you), which you can imagine would make the class harder. It&rsquo;s especially understandable, though, since the transition to life at Princeton certainly takes some time to adjust to.</p><p>What I think the two biggest problems are: 1). most papers just end up being a <i>summary</i> with no analytical rigor, or 2). they might bring up novel arguments but they’re non-rigorous and often biased by their past beliefs.</p><p>The former is what makes people say that writing seminar is “hard” because they’ve simply never written anything that has required this much work to write with ironclad rigor. The latter is what makes people say writing sem is “BS” or that it&rsquo;s &ldquo;not applicable to other classes,” and it actually occurs quite a bit. I&rsquo;ve literally heard people self-proclaim that they have this uncanny ability to wiggle themselves out of any paper by making up some argument that may sound profound or superficially spectacular but is actually unfounded once granularly dissected. Granted, this approach may actually work in some classes here, but it ain&rsquo;t gonna work in writing seminar. This ends up being a revelation for a lot of students and it&rsquo;s the main reason why students are unhappy with their B on any given paper: thinking that their arguments were sound but in reality there were numerous illogical jumps and inconsistencies in their paper.</p><p>I remember some of my friends fuming about their R1/2/3 grades and were intent on giving their professor a piece of their mind at office hours, but then I would read their papers and see exactly what their professor were talking about. Obviously, I would try to sympathize with their situation and offer some constructive feedback in case they wanted another viewpoint on it. But it’s almost like cognitive dissonance when this is the first time that freshmen receive actual critical feedback in their life. Referring back to the first paragraph about talented writers, some may actually choose to maintain their belief that their writing ability is infallible. They conclude their professor must be mistaken and so they never actually change their writing habits and end up bombing the course.</p><p>It&rsquo;s interesting because you can imagine this is more likely to happen if you got into a writing sem with a topic you’re really “comfortable” with. This is because you’re more inclined to not objectively look at what the assigned readings (the evidence/literature) say because you already have such a molded idea of what you think is “right” in your mind.</p><p>Combine this with the fact that there is really no rubric per se (the profs just <i>feel</i> whether it’s an A, B, or C paper lol) and a group of students accustomed to perfectly following very specific rubrics that would guarantee them an A in any assignment during high school and you have some very unhappy freshmen.</p><p>Thank you for coming to my TED Talk.</p>"
26,<p>Can I reuse my COS IW for the SML certificate IW requirement?</p>,<p>Response from Olive:</p><p>yup as long as it has significant statistics / machine learning content in it</p>
27,<p>how competitive is corporate contacts? what are the best ways to get involved in business today?</p>,"<p>Response from Chewy:</p><p>Corporate contacts is very competitive as it is a great internship opportunity for first and second-years that often leads to internships at big-name companies for the following years and officer positions at Business Today (BT). </p><p>Other ways to get involved in BT include staffing one of their conferences, such as Boost, DN, and IC, or being on one of their teams, such as content and seminars.</p>"
28,"<p>Is it worth it to go to winter session and meet new people/hang out with friends or should I just stay home, relax, and spend more time with my family?</p>","<p>Response from Olive:</p><p>personally would do whatever you feel more like doing. it&rsquo;s a break, so I would suggest you go wherever you feel most comfortable and relaxed. if you like being home with your family then stay home, and if you prefer your friends or socializing with new people go to wintersession instead. both choices are completely valid ones to make, but your choice should be whichever would help you enjoy break the most.</p>"
29,<p>What kind of courses are offered during the summer? Does financial aid cover the tuition?</p>,"<p>Response from Olive:</p><p>you can find last summer&rsquo;s offerings <a href=""https://registrar.princeton.edu/course-offerings/summer-programs"">here</a>. they can change a bit year to year but some of the more common courses like mat201/mat202/eco100 will usually always be offered. the question of financial aid is a bit vague according to past submissions and I want to say it won&rsquo;t cover a summer course since you&rsquo;re only eligible for 8 semesters of financial aid, but I think you may be able to apply for funding on SAFE to help cover costs. </p>"
30,<p>A C- is a pass right?</p>,<p>Response from Chewy:</p><p>Indeed.</p>
31,<p>Re chewy: Considering switching to ORF so 310 doesn’t impact departmental gpa much…got an A from 362 this sem and I think if I do well on enough ORF departmentals maybe this won’t be a huge issue</p>,"<p>Response from Chewy:</p><p>Then go for it if you do well on ORF departmentals! You have time to adjust your major.</p><p>I will say that departmental GPA really doesn’t matter in terms of employment if that’s your goal, as my overall GPA is much better than my ECO one. One or two B+ doesn’t really hurt in the long term.</p>"
32,<p>are peer career advisers available to meet over wintersession or do we have to wait until the semester starts?</p>,"<p>Response from Olive:</p><p>I tried looking through the schedule on Handshake and they don&rsquo;t seem to be, but the career center is having drop-in advising (no appointment required) virtually from 2-4pm M-Th and 12-4pm F under the &ldquo;events&rdquo; tab if you still want to meet with someone soon.</p>"
33,"<p>Housing says my prox access to the dorms is suspended from noon on Monday, December 26th through Friday, January 13th, so when is the absolute earliest I could get in?</p>",<p>Response from Olive:</p><p>not sure what time prox access is typically restored but I want to say midnight but any readers with a different experience feel free to correct</p>
34,<p>can't find this on the financial aid website for some reason - when does the financial aid application for the 2023-24 school year open? thanks!</p>,"<p>Response from Chewy:</p><p>The fin aid application likely opens March 15, 2023, with a deadline of May 1st, 2023. These dates are based on a timeline found at the link below for 2022:</p><p class=""npf_link"" data-npf='{""type"":""link"",""url"":""https://finaid.princeton.edu/apply-aid"",""display_url"":""https://finaid.princeton.edu/apply-aid"",""title"":""Apply for Aid"",""site_name"":""Princeton University Admission""}'><a href=""https://finaid.princeton.edu/apply-aid"" target=""_blank"">Apply for Aid</a></p>"
35,<p>Raw score 86 ended up with a b+ in eco310….considering changing my major rn..I thought the curve for this class was supposed to be very generous…?</p>,"<p>Response from Chewy:</p><p>Perhaps 50% of the class had a better grade than an 86, which is quite unfortunate, but that is how the grading curve works in that class.</p><p>Also, I got a B+ in ECO 310, yet I still did much better in my subsequent classes in Economics, assuming that is the major you are considering. If you are in ORF, on the other hand, then you can take some time to reconsider or decide to push on forward.</p>"
36,<p>are you supposed to respond to recruiters' messages on handshake? or are they automated/sent to a lot of people at once?</p>,"<p>Response from Chewy:</p><p>You don&rsquo;t have to. The messages are sent to many people at once, and sometimes they never respond even if you send them a message.</p>"
37,<p>do matriculate advising fellows ever get matriculate merch? if so when?</p>,"<p>Response from Chewy:</p><p>Yes, they do! When I was in it, the merch arrived the following semester, but the timeline may be different now. I would contact HAFs for more information.</p>"
38,"<p>Would anyone care if I use Grindr on-campus and saw my profile or those that I invite to my dorm? It seems like every single selective club depends on people's opinion of you, unfortunately...</p>","<p>Response from Olive:</p><p>I think princeton is generally pretty accepting of the lgbt+ community, although of course there are people who are not. I would do whatever you feel most comfortable with as I&rsquo;m sure being gay / being on grindr isn&rsquo;t something that people would hold against you since this is a pretty liberal leaning institution. you can always take protective measures if you&rsquo;re worried about people finding out such as not putting any public pictures, only sending them to those you feel comfortable with, etc.</p>"
39,<p>can you get a peer tutor through your res college for cos 226?</p>,"<p>Response from Olive:</p><p>it&rsquo;s not among the list of courses they usually solicit tutors for but they do offer an opportunity for interested students to offer any additional classes they&rsquo;d be interested in tutoring, so there may be a tutor available if you ask. I think the COS courses tend to have more class resources available such as preceptors and office hours since they&rsquo;re usually larger, so I would take advantage of those as well</p>"
40,"<p>are all dhalls open during wintersession, or just a select few?</p>","<p>Response from Chewy:</p><p>Roma, Yeh/NCW, and CJL starting 1/15. Butler starting 1/22. Everywhere else 1/28.</p><p class=""npf_link"" data-npf='{""type"":""link"",""url"":""https://dining.princeton.edu/news/wintersession-2023"",""display_url"":""https://dining.princeton.edu/news/wintersession-2023"",""title"":""Wintersession 2023"",""description"":""Wintersession 2023 dining hall hours of operations."",""site_name"":""Princeton Campus Dining"",""poster"":[{""media_key"":""0bb29487e9aa3dee95e815f26357b993:3b9a7dc31245c895-31"",""type"":""image/jpeg"",""width"":750,""height"":500}]}'><a href=""https://dining.princeton.edu/news/wintersession-2023"" target=""_blank"">Wintersession 2023</a></p>"
41,<p>how much physics is in CEE102B (STL)?</p>,<p>Response from Olive:</p><p>it&rsquo;s not a pre-req so you can assume no physics knowledge is expected or required and any that is should be accessible to someone from a non-stem background</p>
42,<p>Why do I need an employment recommendation for Reunions jobs lol? How is delivering beer to drunk people competitive?</p>,"<p>Response from Olive:</p><p>it&rsquo;s not competitive, but they want to make sure they&rsquo;re hiring people with decently good judgement, especially those that handle alcohol, which is why they ask for a recommendation</p>"
43,"<p>@the pre draw single question, unless it's different this year, you can usually use that space to list someone who you want to be in a single next door to you! so you have the chance to still live near a friend :)</p>",<p>Response from Chewy:</p><p>Yup! You must indicate that you want &ldquo;two singles&rdquo; in the area that describes the rooms that work for you. Thanks for sharing!</p>
44,<p>Does anyone ever get an 'A' in writing sem?</p>,<p>Response from Chewy:</p><p>Yeah. It&rsquo;s rare but people do get it.</p>
45,<p>do you recommend emailing professors about final grades or just waiting? i would like to have an updated transcript/gpa for summer apps...</p>,<p>Response from Chewy:</p><p>You can email them but only do so if they haven&rsquo;t reported their grades beyond the grading deadline.</p>
46,<p>other ways to get housing/be able to stay for reunions w/o actually working reunions? like what other groups get to stay or are there other jobs u can do on campus?</p>,"<p>Response from Chewy:</p><p>Performing arts groups usually stay for reunions, so you can get housing through that method.</p>"
47,<p>I'm confused. I am a first year and was wondering if I needed to complete a pre-draw application if I want to have a single again. I am currently in a single (I think because of my medical condition) and want to have another single next year but the pre-draw application provides accommodations for one roommate or draw mate. I don't want any roommate. Any info is appreciated!</p>,"<p>Response from Olive:</p><p>not sure if we&rsquo;re looking at the same housing accommodations application but the one I&rsquo;m looking at says &ldquo;If you wish to have a roommate/drawmate, list them and include their class year. You may only bring one (1) person into the draw with you:&rdquo; so it seems to be optional. you&rsquo;ll need to do it because otherwise you&rsquo;ll be in the general room draw with everyone else which doesn&rsquo;t include rooms for those with accommodations.</p>"
48,"<p>Who should I talk to about getting into grad school given a low GPA? I love doing research and will graduate with a lot of research experience, but I've been dropping the ball on coursework and my current GPA (engineering, going into junior spring) is a low 3. Feeling a sense of doom since I feel like my grades won't be good enough for top programs.</p>","<p>Response from Olive:</p><p>the career center definitely has staff very familiar with grad school admissions processes, but you can also reach out to someone in your department who may be more knowledgeable about how to go about applying for grad school in your specific major. I think the general advice they&rsquo;ll give is that GPA is just one factor grad schools take into account among many more. in your case, they may prefer someone with a lower gpa and a lot of relevant research experience over someone with a much higher gpa but lacks the same degree of experience. your primary task as an applicant is to highlight your strengths to schools in order to create a case for yourself and applications typically provide a lot of opportunities to do so whether it be research experience, essays, recommendations, etc. improving your gpa could also be something to aim for, but it&rsquo;s also not the only thing you can do or what schools will care about.</p>"
49,"<p>Will quintile rank be updated after today's grade submission deadline (1/9), or roughly how long until they are usually updated for the previous semester?</p>",<p>Response from Chewy:</p><p>We don&rsquo;t know when the registrar will update this information. Check back in a week or so.</p>
50,<p>How do I access quintile rank? Previous answers on this forum don’t seem to apply</p>,<p>Response from Olive:</p><p>they aren&rsquo;t updated for this sem yet but you can do enroll in courses -&gt; term information -&gt; view my quintile rank</p>
51,<p>Frosh here. The last math class I took was precalc in high school and did pretty well. Would MAT103 be too difficult to take right away? </p>,"<p>Response from Heisenberg:</p><p>Just take MAT 103. I don&rsquo;t know what other courses/sequences you&rsquo;re considering but MAT 100 is basically just the hardest parts of your precalc class, so it&rsquo;s better to just rip off the bandaid by taking MAT 103 and save the extra course slot for a more worthwhile course. </p>"
52,<p>I got a fat 3.1 GPA as a frosh.</p>,"<p>Response from Olive:</p><p>and that&rsquo;s okay! many people felt disappointed in their first semester gpa (me) especially since most of us never received a final grade lower than an A, but this is also a totally new and much more academically competitive environment for many people as well. the first semester gpa is a pretty biased metric since it&rsquo;s based on only usually 4 courses where as when you graduate you&rsquo;ll have completed either 31 (AB) or 35 (BSE), so non-A scores heavily skew it downwards. you have a lot of potential room for improvement and plenty of time to do it, so I wouldn&rsquo;t stress too much. I would take some time to reflect on what could have led to this and maybe try to think of ways to fix it. were you just not interested in your classes? do you think you prepared well for exams? did you use all of the academic resources available to you? these can be good starting points in determining what may have went wrong. I know it can take some time to get past, but the new semester brings new opportunities to improve your gpa and I&rsquo;m confident you&rsquo;ll be able to.</p>"
53,"<p>is it just me (ab) or do i feel like bse students are generally way better at everything compared to ab students? tbh most people here are good at writing essays and doing humanities stuff, but i'd say most ab students (with the exception of pure math/physics majors) are complete dogshit at anything stem related. my roommate (also ab student) once told me 1/3+1/4 = 1/7. also my professors have told me that often times bse students are their best, but no bse profs say ab are their best</p>","<p>Response from Chewy:</p><p>I would say that your comment holds true for BSE students and math/physics majors regarding STEM-related things, as they must have those skills to survive their major, which means they have a higher baseline for &ldquo;smartness.&rdquo;</p><p>After all, there is a reason why most AB students choose their major in the humanities, as we would die in the physics, chemistry, and math requirements needed there. But not everyone is terrible at STEM-related things, such as students who major in CHM, EEB, MOL, NEU, and ECO, just to name a few. I know quite a few people in those departments who are extremely smart.</p><p>Response from Heisenberg:</p><p>I have observed this as well, but this is the wrong mindset to be maintaining during your years here at Princeton.</p>"
54,"<p>does a professor have the ability to enroll me in classes? currently looking to enroll in classes where i dont meet the prereqs (309 is only for sophs, but im a frosh and have finished 245) or other restrictions</p>",<p>Response from Olive:</p><p>the professor can&rsquo;t enroll you in the class themselves but they can get someone in their department to allow you to enroll on TigerHub if they choose to do so</p><p>Response from Heisenberg:</p><p>I know a handful of freshmen who enrolled in 309 so just ask away</p>
55,<p>What's considered a good GPA for a freshman AB in economics/social sciences for the first semester? Does it tend to be that classes get harder as the years progress?</p>,"<p>Response from Chewy:</p><p>In the economics/social sciences world, a GPA above 3.5 is considered &ldquo;good.&rdquo; But assessing a GPA off of one semester isn&rsquo;t a reliable indicator of your abilities, so take it with a grain of salt.</p><p>Classes tend to get harder until junior year, which balances out as you have a better grip on studying and take electives that are reasonable for your interests and preferences.</p>"
56,<p>What is the cutoff for an A in phy101?</p>,<p>readers?</p>
57,"<p>Has anyone done or heard of the Centro Panamericano de Idiomas - CPI Spanish language school in Costa Rica? If so, what were your thoughts?</p>",<p>readers?</p>
58,<p>does anyone know how paying for an IUD insertion at UHS works if you have private insurance ?</p>,"<p>Response from Olive:</p><p>I think it would just get billed to the insurance plan owner (presumably a parent) and they would pay it once they receive it however they usually do. if you&rsquo;re worried about privacy or a parent finding out, you could try asking if you can pay for it at the office, but the insurance owner would still be able to find out about from their account if they looked into it.</p>"
59,"<p>how bad is living in 1901 hall in terms of cleanliness, bugs, and noise</p>","<p>Response from Olive:</p><p>I think in terms of bugs and cleanliness it&rsquo;s still part of the slums which aren&rsquo;t great, but I think it tends to be a little cleaner and have fewer bugs. the noise in the courtyard / dorms can be pretty bad on nights out </p>"
60,<p>Is it bad that I want to hookup with a grad student as a first-year? I just like mature women lol.</p>,"<p>Response from Olive:</p><p>I think if it&rsquo;s in the context of a current preceptor of yours then I would probably say so because it can make it difficult to maintain a professional relationship with them, but if it&rsquo;s not I think it&rsquo;s okay. age preference is a pretty common thing in sexual relationships since there are definitely people interested in others that are many years younger / older than them.</p>"
61,<p>Can you just lie about your GPA for PICS and other Pton things? Who cares lol.</p>,<p>Response from Olive:</p><p>nothing stopping you but pretty sure they can check your GPA without your permission to verify and potentially disqualify you from consideration if they find out. GPA is only a part of it and usually isn&rsquo;t a deciding factor for PICS and other internships but rather interest</p>
